,ci,gender,name,edad,telefono,grado,estado
69,1708827339,female,Tina Evans,16,593990524106,NA,False
70,1742834740,male,Robert Jones,22,593990897944,NA,False
71,1755706100,female,Dana Rodgers,18,593990793663,70%,False
72,1782214819,female,Monique Hodge,21,593990824949,100%,True
73,1763963984,female,Nicole Davis,20,593990096496,NA,True
74,1764241847,male,Tanner Lewis,22,593990311903,100%,True
75,1767181854,female,Danielle Villa MD,22,593990057147,100%,False
76,1770500935,male,Mark Chavez,17,593990748991,NA,True
77,1750982112,male,Nathan Reyes,20,593990664919,NA,False
78,1781449183,female,Dawn Hurley,16,593990137744,70%,True
79,1728690393,female,Laurie Torres,18,593990709755,70%,True
80,1718339291,male,Robert Smith,20,593990853203,60%,True
81,1707878578,male,Austin Mejia,13,593990276258,NA,True
82,1770266770,female,Lori White,19,593990682777,NA,False
83,1720925776,female,Carly Johnson,22,593990317139,100%,False
84,1702822886,female,Jacqueline Campbell,19,593990225899,100%,True
85,1714664898,male,Anthony Bright,16,593990553147,70%,True
86,1713129370,male,Michael Rodriguez,13,593990551641,NA,False
87,1702108245,female,Samantha Cobb MD,17,593990191981,70%,True
88,1793074912,male,Dylan Gregory,13,593990238716,NA,True
89,1723539874,na,Brandy Donovan,16,593990989239,100%,False
90,1795528003,female,Jessica Cooley,15,593990953359,NA,True
91,1739121548,female,Brianna Thompson,16,593990004190,NA,True
92,1735652927,male,Joseph Holmes,21,593990369173,40%,False
93,1785333876,male,David Watson Jr.,19,593990139835,NA,True
94,1700948719,na,Barbara Boyd,18,593990351316,NA,False
95,1748181086,male,Justin Gonzales,14,593990950011,NA,False
96,1736751163,female,Krystal Berger,20,593990145676,NA,False
97,1704332935,male,Douglas Pham,13,593990724269,100%,False
98,1787192901,female,Sonia Fletcher,15,593990566293,NA,False
99,1797831699,male,Christopher Sullivan,15,593990237311,50%,True
100,1785719025,male,Henry Adams,17,593990186567,NA,False
101,1794491087,na,Ann Harrell,22,593990287289,NA,False
102,1714835899,female,Denise Wilson,17,593990166596,70%,True
103,1780794479,female,Amy Simon,20,593990519652,40%,True
104,1757020579,male,Michael Fowler,19,593990015955,50%,True
105,1786778787,male,Adam Warren,19,593990931562,NA,True
106,1738699611,female,Kimberly Little,22,593990877876,NA,False
107,1728908245,female,Sierra Best,13,593990872469,100%,False
108,1786117305,female,Lauren Thompson,16,593990017002,50%,True
109,1706345162,female,Stephanie Delacruz,19,593990339057,NA,False
110,1794120297,female,Jodi Lee,15,593990256395,NA,False
111,1783914317,male,Joseph Miller,21,593990815284,NA,False
112,1778367373,male,Russell Bailey,20,593990224770,50%,True
113,1716130851,female,Stephanie Rodriguez,19,593990177700,60%,True
114,1793077401,male,James Davis,16,593990242897,50%,True
115,1727615058,male,Gary Conway,18,593990009200,50%,False
116,1760992512,female,Brianna King,14,593990780977,NA,False
117,1794911172,female,Chelsea Gardner,19,593990736150,40%,False
118,1791743905,female,Bianca Rodriguez DDS,15,593990523163,NA,True
119,1701570673,male,Dr. Samuel Russo DDS,21,593990088716,40%,False
120,1768251633,male,Patrick Wang,22,593990586936,60%,False
121,1741281877,male,Alexander Perez,13,593990168997,NA,False
122,1731435513,male,Christopher Wagner,14,593990985337,NA,False
123,1768925230,male,Mr. Richard Hunt,16,593990759528,NA,True
124,1777988908,female,Terri Hughes,14,593990311270,NA,False
125,1771593444,female,Lynn Wiggins,19,593990723762,100%,False
126,1701077478,female,Patricia York,13,593990096407,NA,False
127,1728909447,male,Hector Pollard,19,593990137873,100%,False
128,1775855128,female,Nicole Andrews,13,593990196638,100%,True
129,1792907460,female,Maria Ortiz,22,593990004705,NA,False
130,1766095022,male,Kyle Wolfe,22,593990129364,50%,False
131,1763271718,female,Heather Johnson,20,593990748454,100%,True
132,1782309733,female,Melissa Hinton,18,593990283071,NA,True
133,1762695696,male,Bobby Torres,16,593990781232,NA,True
134,1762722710,female,Michelle Richard,21,593990682823,NA,True
135,1759965318,male,Christopher Cole,20,593990533756,100%,True
136,1728883705,male,John Martin,15,593990187716,40%,True
137,1761803912,female,Christine Martin,13,593990080992,NA,False
138,1772367844,na,Dr. Heather Hernandez,13,593990440679,70%,False
139,1772437442,female,Molly Marshall,22,593990665988,60%,False
140,1749631920,male,Michael Pope,22,593990319841,NA,True
141,1762413796,male,Richard Anderson,21,593990059932,NA,False
142,1775607090,female,Melanie Johnson,21,593990325127,NA,True
143,1704623591,female,Linda Jimenez,21,593990295725,NA,False
144,1746700839,male,Dr. John Petersen Jr.,15,593990442446,NA,True
145,1784545419,female,Laura Clark,21,593990249346,60%,True
146,1786854091,male,Michael Holloway,15,593990390162,NA,False
147,1714006117,female,Amanda Doyle,17,593990619735,NA,True
148,1725411113,female,Jessica Jones,14,593990731401,40%,True
149,1736529630,na,Marissa Clark,16,593990039184,50%,True
150,1745532401,female,Kerry Foley,14,593990245145,NA,True
151,1720326047,female,Julie Frost,17,593990234740,100%,True
152,1742919986,male,Mark Ramirez,17,593990379946,60%,False
153,1731723256,female,Jaclyn Johnson,21,593990594086,NA,True
154,1750862010,male,Joshua Miller II,22,593990237704,70%,False
155,1792970050,male,Kevin Ellis,15,593990314868,70%,True
156,1766855284,male,Joshua Higgins,18,593990070674,NA,True
157,1777666279,male,James Ballard,15,593990392752,NA,False
158,1715694185,male,John Graham,15,593990039366,100%,True
159,1783620954,male,Derek Sullivan,22,593990775771,100%,False
160,1708399754,female,Abigail Mcintosh,21,593990452000,50%,False
161,1730197793,male,Alfred Harrington,18,593990543041,NA,False
162,1785944768,male,Marc Moreno,15,593990273290,NA,True
163,1787168122,male,Donald Combs,13,593990887716,100%,True
164,1772522692,male,Paul Lopez,21,593990915796,40%,True
165,1780557505,male,Eric Huynh,14,593990043901,NA,False
166,1714794836,male,David Young,14,593990309929,70%,True
167,1718694316,male,Robert Armstrong,18,593990862967,NA,False
168,1798328837,male,Michael Robinson,15,593990823504,100%,True
169,1736532651,female,Brittany Green,17,593990458206,NA,True
170,1707582285,male,Shannon Silva,22,593990103596,50%,True
171,1701479681,female,Vanessa Smith,21,593990906583,100%,False
172,1793256752,female,Hannah Mathews,13,593990974943,NA,True
173,1766456082,na,Mary Davis,17,593990898282,60%,False
174,1752030075,female,Cathy Cunningham,19,593990788428,NA,False
175,1764691127,male,Nicholas Briggs,14,593990214215,60%,True
176,1795815607,male,Curtis Moore,14,593990349162,NA,False
177,1725883792,female,Erin Benjamin,13,593990992135,70%,True
178,1722563245,male,David Soto,18,593990544183,40%,True
179,1797746935,male,Andrew Rich MD,20,593990759378,70%,True
180,1739183736,male,Mr. David Moore PhD,17,593990817134,NA,False
181,1795993926,female,Sarah Goodwin,17,593990847726,NA,True
182,1706888846,male,George Garza,17,593990881951,NA,False
183,1774431513,female,Stephanie Maldonado,17,593990362847,NA,True
184,1756100271,female,Stephanie Myers,19,593990288287,NA,False
185,1725476229,female,Kathryn Medina,16,593990922013,60%,True
186,1783329656,female,Alejandra Woodward,13,593990339093,NA,True
187,1797514002,male,Thomas Silva,16,593990990918,100%,False
188,1711746806,male,Jeffrey Davies,18,593990943576,NA,False
189,1743267947,female,Samantha Barrett,15,593990194738,NA,False
190,1758646264,na,Erika Ritter,14,593990609504,100%,True
191,1754682958,male,Michael Wright,13,593990287823,40%,False
192,1799240388,female,Crystal Cline,21,593990136836,NA,True
193,1788552103,female,Misty Hill,17,593990893729,NA,True
194,1707344103,female,Megan Simpson,16,593990734949,NA,True
195,1731849337,male,Jason Green,13,593990610756,60%,True
196,1760064220,female,Alexis Taylor,20,593990285454,60%,True
197,1708032326,male,Henry Andrews,16,593990671840,NA,True
198,1758272448,female,Samantha Wilson,20,593990007032,40%,False
199,1766665805,male,Ricky Mason,21,593990326700,NA,True
200,1702405564,male,Henry Ortiz,19,593990379044,50%,True
201,1736162994,male,Jerry Carter,14,593990492696,70%,False
202,1767695612,male,Andrew Morales,13,593990763391,100%,False
203,1745346648,female,Sydney Mccann,20,593990089816,50%,True
204,1785656436,female,Sandra Morris,21,593990124889,NA,True
205,1709215634,male,Aaron Nelson,18,593990158772,NA,False
206,1759524771,male,Jeremy Jones,18,593990179884,NA,False
207,1701160203,female,Julia Tran,21,593990916759,50%,True
208,1714286989,female,Heather Thomas,21,593990949215,NA,True
209,1781708176,female,Tiffany Garrett,14,593990458588,100%,False
210,1719492135,male,Andrew Pacheco,16,593990455750,NA,True
211,1722560377,male,Robert Estrada,20,593990207715,100%,False
212,1793091041,female,Crystal Thomas,15,593990703641,40%,True
213,1767211057,female,Rebecca Beck,15,593990183660,50%,False
214,1716352433,female,Shelby Robles,22,593990829974,NA,False
215,1744408734,na,Nicole Johnson,16,593990539281,70%,False
216,1747773089,male,Casey Cummings,18,593990419429,NA,False
217,1793124126,female,Joanne Little,19,593990666058,100%,True
218,1703631477,female,Cheryl Lee,21,593990575741,NA,True
219,1791767536,male,David Hernandez,19,593990991275,40%,False
220,1735041583,male,Michael Castillo,13,593990115793,70%,False
221,1716789279,male,Howard Douglas,14,593990862538,50%,True
222,1781077641,male,Dillon Lloyd,20,593990844120,NA,True
223,1742074605,female,Amanda Duncan,15,593990676362,NA,False
224,1755495185,female,Lynn Cooper,17,593990058191,100%,False
225,1715828839,male,Gregory Mathis,18,593990871014,NA,True
226,1739851183,female,Diana Hughes,22,593990462565,NA,True
227,1713162897,male,Ronald Lyons,20,593990626506,40%,True
228,1710383768,male,Carl Wagner,20,593990257728,NA,False
229,1780635475,female,Julie Rivera,21,593990253206,NA,True
230,1754558971,male,James Flores,21,593990506082,NA,True
231,1799360321,male,Chris Hawkins,16,593990944588,NA,True
232,1791489193,na,Sarah Sanchez,14,593990806443,NA,True
233,1791618515,female,Sarah Lewis,15,593990375293,NA,True
234,1755355573,male,Adrian Hernandez,16,593990385799,NA,True
235,1798870941,na,Anthony Williams,19,593990425393,NA,True
236,1796677973,female,Nicole Nunez,16,593990660331,NA,True
237,1777366978,female,Kimberly Wright,14,593990952818,60%,True
238,1742450659,na,Ronald Rogers,14,593990905280,NA,False
239,1753451700,female,Lisa Long,17,593990968808,60%,True
240,1796893185,male,Brian Curtis,16,593990244997,NA,False
241,1767425717,female,Brittney Martin,17,593990027897,NA,False
242,1750653401,male,John Green,22,593990541059,60%,True
243,1794147165,male,Randy Odonnell,14,593990507135,NA,True
244,1729931279,female,Sara Vega,22,593990334313,NA,False
245,1754102556,male,Angel Moore,20,593990834087,50%,True
246,1701492356,female,Shawna Jones,22,593990540036,NA,True
247,1703603258,female,Cindy Fowler,17,593990934494,70%,False
248,1764758770,female,Deborah Duncan,16,593990781266,40%,False
249,1745069177,male,Robert Watson,22,593990130554,NA,False
250,1757439311,female,Laura Holloway,19,593990901009,100%,False
251,1777031828,female,Linda Holmes,14,593990392106,60%,False
252,1745823711,female,Dana Sims,20,593990587608,70%,False
253,1782331269,female,Emily Rodriguez,21,593990623282,100%,False
254,1787023372,female,Dawn Frazier,22,593990725149,40%,False
255,1786943080,male,Juan Camacho,15,593990687598,100%,False
256,1794531965,male,Roger Ray,13,593990273117,NA,False
257,1795504365,male,Gregory Hudson,15,593990262332,70%,True
258,1782553947,female,Kathleen Morris,21,593990354647,NA,False
259,1782213566,male,Kevin Robertson,19,593990555379,60%,True
260,1719031185,female,Lisa Norton,20,593990962113,NA,False
261,1798884518,female,Sara Hunter,18,593990132284,NA,True
262,1772108876,female,Jodi Willis,19,593990767524,60%,False
263,1745653473,female,Audrey Gibson,21,593990812637,40%,True
264,1702034612,female,Susan Avila,18,593990712363,NA,False
265,1753982362,female,Taylor Bernard,19,593990208855,NA,True
266,1792280021,male,Michael Mitchell,19,593990205421,NA,False
267,1777996642,female,Kimberly Watts,15,593990430820,60%,True
268,1792057772,male,Christopher Kennedy,20,593990801005,100%,True
269,1740991342,female,Cynthia Salas,13,593990928529,NA,True
270,1707593162,male,Bryan Sims,21,593990493059,NA,False
271,1710062325,male,Jose Walker,18,593990097851,100%,False
272,1710932520,female,Mary Goodman,15,593990914369,100%,False
273,1736706598,female,Jeanette Webb,14,593990132031,NA,True
274,1705193659,female,Kristen Austin,18,593990983142,NA,True
275,1771125925,female,Nancy Giles,21,593990303753,100%,True
276,1707739293,female,Ann Jones,19,593990582258,50%,False
277,1749037104,female,Kelly Castro,17,593990454109,60%,True
278,1734715923,male,Joseph Diaz,14,593990817056,NA,True
279,1703479792,male,Eric Love,19,593990249523,70%,False
280,1718309653,na,Deanna Thomas,19,593990630846,100%,False
281,1772158691,male,Keith Scott,18,593990733570,NA,True
282,1791424516,na,Allen Cole,22,593990789489,70%,False
283,1711064886,female,Cynthia Barton,16,593990037294,NA,True
284,1750599397,male,Jerry Sullivan,16,593990936265,100%,False
285,1745877488,na,Mary James,14,593990467608,NA,False
286,1795382888,female,Holly Wright,13,593990219347,NA,False
287,1706074250,male,Billy Koch,15,593990939519,70%,False
288,1795075010,male,Nicholas Horton,13,593990526076,50%,True
289,1750595002,female,Carrie Reyes,20,593990204074,NA,False
290,1795743668,male,Martin Fry,19,593990973843,70%,True
291,1746221385,na,Matthew Castillo,14,593990016330,NA,True
292,1779367711,na,Keith Fernandez,19,593990750196,NA,True
293,1785364286,male,Jason Curtis,14,593990784376,NA,True
294,1785735880,male,Mark Kennedy,18,593990377992,NA,False
295,1725643726,female,Shawna Mcgrath,15,593990192667,NA,True
296,1722286206,female,Sara Clark,14,593990013959,NA,True
297,1745428740,male,Johnathan Aguilar,16,593990899731,NA,True
298,1779830686,male,Samuel Stewart,15,593990540496,NA,False
299,1770722444,male,Alex Dyer,22,593990361595,100%,False
300,1706124982,female,Kathy West,13,593990531996,NA,True
301,1771141649,female,Rita Watts,13,593990513316,NA,False
302,1736560405,female,Jessica Cox,21,593990220697,NA,False
303,1708954164,male,Aaron Lawrence,19,593990822301,100%,False
304,1758058614,female,Lisa Wilson,17,593990918284,NA,True
305,1791197929,male,James Herrera,13,593990143809,NA,False
306,1758796214,male,Caleb Simpson,21,593990948933,70%,False
307,1745063557,female,Ashley Burgess,15,593990140959,100%,False
308,1744791273,female,Miranda Smith,17,593990290933,40%,False
309,1796804457,male,Bobby Meyer,17,593990253550,NA,False
310,1702297606,female,Carolyn Wood,14,593990460112,50%,False
311,1710538232,female,Christine Benson,18,593990808464,NA,False
312,1762484660,female,Jennifer Costa,15,593990154239,NA,True
313,1748247945,male,Keith Cox,15,593990052797,50%,False
314,1785307355,female,Angela Long,22,593990701998,100%,False
315,1730993594,female,Teresa Booker,13,593990436315,NA,True
316,1730792311,male,Daniel Harrington,21,593990670889,100%,True
317,1704863594,male,Richard Webster,17,593990724264,NA,True
318,1710386056,female,Heather Watkins,13,593990038331,70%,False
319,1729177531,female,Amy Hill,21,593990606423,40%,True
320,1732934577,male,David Lewis,14,593990485691,NA,False
321,1783143752,female,Bethany Farley,20,593990005899,NA,True
322,1767412614,male,Steven Lewis,21,593990541354,NA,True
323,1785794875,male,Richard Johnson,21,593990387300,70%,False
324,1709425681,female,Kelly Mills,18,593990113790,NA,False
325,1797703973,female,Natalie Perry,19,593990608972,60%,False
326,1748667253,male,James Meyer,14,593990544332,NA,True
327,1719352068,male,Cameron Lee,19,593990924878,NA,True
328,1716797157,male,Robert Smith,17,593990910528,50%,True
329,1796253843,male,Michael Randall,17,593990742900,40%,False
330,1794731708,male,Jeffrey Randall,21,593990362885,60%,True
331,1772681387,male,Robert Richardson,16,593990507835,70%,True
332,1763298733,female,Heather Gomez,16,593990229633,60%,False
333,1754527335,male,Dalton Mcbride,17,593990097978,NA,False
334,1745789756,male,Jonathan Brewer,18,593990044951,NA,False
335,1735840087,female,Nancy Murphy,13,593990686125,NA,True
336,1789248887,male,Justin Oliver,14,593990033898,40%,True
337,1731395898,male,Zachary Rice,14,593990432928,NA,False
338,1721397288,female,Mrs. Taylor Wilson,22,593990844789,NA,True
339,1765948824,male,David Cisneros,15,593990201344,NA,True
340,1733087332,male,Martin Greer,14,593990325326,NA,False
341,1740528333,male,Jonathan Porter,13,593990751165,40%,True
342,1735063452,female,Diana Mcintosh,21,593990734822,NA,False
343,1797763529,male,John Anderson,21,593990281360,60%,True
344,1776526899,male,Anthony Fernandez,15,593990028373,50%,False
345,1727332006,male,Mark Fitzpatrick,19,593990899810,60%,True
346,1708195562,female,Michelle Roberson,21,593990847192,60%,True
347,1751033473,female,Lindsey Marsh,20,593990911703,60%,False
348,1769027790,female,Rita Peters,21,593990103058,NA,False
349,1734339575,male,Taylor Jones,19,593990718233,50%,False
350,1716834578,female,Debra Allen,17,593990836773,70%,True
351,1706366154,female,Cheryl Taylor,21,593990430428,70%,False
352,1737924228,na,Nicole Jackson,16,593990917754,40%,False
353,1701319963,female,Lindsay Davenport,14,593990254817,70%,True
354,1729197668,female,Jasmine Adams,17,593990664909,100%,True
355,1795614789,female,Sabrina Green,20,593990194091,40%,False
356,1731623285,male,Leroy Williams,22,593990676459,NA,False
357,1714445139,male,Terry Lopez,20,593990739002,60%,False
358,1717926581,female,Samantha Hernandez,13,593990804428,NA,False
359,1735456355,male,Jacob Lam,21,593990688854,100%,True
360,1727869144,female,Michelle Blanchard,21,593990705770,NA,True
361,1794722734,male,Joshua Burns,21,593990727773,40%,True
362,1793344336,female,Christine Griffin,19,593990090041,70%,False
363,1700817176,female,Sherry Cole,19,593990540519,50%,False
364,1736063671,male,James Jones,20,593990982241,NA,True
365,1719118602,female,Jennifer Pacheco,22,593990790255,NA,False
366,1710231244,female,Sandra Bennett,19,593990736176,60%,True
367,1775507100,female,Kimberly Williams,13,593990990404,NA,True
368,1796468699,female,Isabel Perry,19,593990601995,NA,True
369,1730777547,male,Andrew Mitchell,22,593990155262,NA,True
370,1719613522,na,John Lee,21,593990087971,NA,True
371,1732772261,male,Larry Wright,13,593990794693,NA,True
372,1744557029,female,Rachel Morgan,22,593990664693,100%,False
373,1773536902,male,Jonathan Carson,22,593990441931,70%,True
374,1767423479,female,Kylie Patterson,14,593990176061,50%,False
375,1765042419,female,Nicole Gilbert,22,593990342244,NA,False
376,1785079420,male,Ethan Kelly,17,593990776270,NA,True
377,1775042283,female,Christine Becker,16,593990423946,NA,False
378,1766931732,female,Melissa Hinton,16,593990566980,NA,True
379,1706382563,male,Ronald Olsen,18,593990240590,NA,True
380,1784487865,na,Ian Andrews,19,593990999356,50%,True
381,1789795075,male,Jose Rodriguez,14,593990699029,70%,True
382,1717654305,female,Heather Sullivan,13,593990047241,50%,True
383,1751923330,female,Hannah Butler,17,593990283805,NA,True
384,1728901793,female,Jennifer Lee,14,593990344141,NA,False
385,1730981871,na,Steven Stewart,22,593990597164,50%,True
386,1781672598,male,Brian Stevens,21,593990319707,100%,True
387,1761158322,female,Lisa Porter,14,593990640203,50%,False
388,1712392534,male,Matthew Johnson,13,593990420266,60%,True
389,1744663357,male,Gerald Smith,15,593990481918,100%,False
390,1788297220,male,Alexander Carter,15,593990410384,NA,True
391,1793415681,male,Brandon Harper,13,593990217165,NA,False
392,1708330525,female,Martha Swanson,18,593990854882,NA,False
393,1796698771,female,Alexandra Norman,21,593990000809,60%,True
394,1752563296,male,Tyler Schroeder,21,593990794723,60%,True
395,1722619588,female,Stephanie Morris,15,593990110152,NA,False
396,1719325791,male,Dustin Gentry DVM,17,593990135519,50%,False
397,1723255027,male,Brett Vincent,16,593990531671,NA,True
398,1732793881,female,Amanda Adams,18,593990068299,50%,True
399,1738428554,female,Connie Saunders,16,593990745540,60%,False
400,1763761263,female,Jennifer Davis,15,593990925968,50%,False
401,1774257969,female,Rose Clark,13,593990017355,70%,True
402,1760406504,male,Greg Peters,20,593990958036,50%,False
403,1729863423,male,Gerald May,20,593990286809,60%,True
404,1723124976,male,Richard Nguyen,21,593990093796,NA,True
405,1761423851,female,Sandra Calhoun,16,593990754399,NA,True
406,1796145678,male,Jose Jackson,18,593990358394,NA,False
407,1725328948,male,Phillip Martinez,22,593990629609,NA,False
408,1780772278,na,Rachel Kirby,19,593990647558,40%,True
409,1768196720,female,Sarah Parker,20,593990612688,NA,False
410,1740131186,female,Shirley Crawford,20,593990194115,50%,True
411,1704405197,male,Michael Wells,18,593990951382,60%,True
412,1741108828,male,Matthew Russell,18,593990027237,NA,False
413,1747977921,female,Kathleen Reynolds,14,593990012750,40%,True
414,1762976539,male,Robert Walters,13,593990224086,NA,False
415,1740473361,male,Tony Osborn,22,593990811198,NA,False
416,1741554857,male,Paul Brown DVM,21,593990516817,NA,False
417,1723250330,female,Kimberly Herrera,15,593990083575,100%,False
418,1784523837,male,Mr. Dustin Reyes,19,593990784616,NA,True
419,1785269633,female,Diana Williams,16,593990030174,40%,False
420,1752904748,female,Jamie Ramos,16,593990481473,NA,False
421,1719058268,female,Shannon Lewis,16,593990194830,50%,True
422,1762163947,male,Willie Kramer,21,593990953265,40%,True
423,1717902835,female,Wendy Mason,19,593990332169,NA,False
424,1735618008,male,Billy Duran,19,593990605460,50%,False
425,1732908501,female,Ashley Burgess,20,593990850790,60%,True
426,1735804372,female,Katherine Russell,20,593990507412,NA,True
427,1764187123,male,Gerald Brown,16,593990079263,NA,False
428,1752932589,female,Emily Mason,17,593990607909,NA,True
429,1774943193,male,Dale Contreras,22,593990409684,NA,False
430,1778728896,female,Alyssa Wheeler,13,593990292072,50%,True
431,1767734411,female,Emily Simpson,17,593990765183,NA,True
432,1718464210,male,David Anderson,13,593990861052,50%,False
433,1793571434,male,Anthony Baker,22,593990179695,NA,False
434,1760264978,female,Suzanne Deleon MD,19,593990453248,60%,False
435,1717497948,female,Cheryl Sullivan,22,593990433646,NA,False
436,1751940370,female,Wanda Hurst,18,593990862823,60%,False
437,1745409694,male,Hunter Perry MD,19,593990861747,NA,False
438,1702754419,female,Amanda Anderson,18,593990622783,100%,False
439,1799057428,male,Anthony Anderson,16,593990701256,70%,True
440,1748576070,male,Mark Stewart,20,593990637449,50%,True
441,1766669246,male,Carlos Navarro,20,593990269347,60%,False
442,1707279403,male,Dennis Tucker,13,593990413392,NA,True
443,1781394337,female,Shannon Torres,20,593990857483,NA,False
444,1765504147,female,Brooke Sandoval,22,593990524930,NA,False
445,1776063244,male,Adam Holmes,20,593990758486,NA,True
446,1798695665,female,Stacy Smith,22,593990599754,50%,False
447,1753072625,na,Zachary Wallace,22,593990784685,NA,False
448,1733293854,male,Matthew Velasquez,13,593990688751,40%,False
449,1775793517,male,Richard Chapman,19,593990163700,70%,False
450,1702907182,na,Jesse Warren,19,593990584242,NA,False
451,1745749452,male,David Barajas,21,593990208771,NA,True
452,1759699497,male,Jesus Clements,18,593990191750,70%,False
453,1728489185,na,Rebecca Rice,18,593990782553,NA,False
454,1785325234,male,Erik Keller,22,593990467209,60%,True
455,1775572508,male,Timothy Colon,19,593990811355,100%,False
456,1726054577,female,Rhonda Ewing,16,593990932161,40%,True
457,1768776795,male,Jason Dougherty,20,593990341298,100%,True
458,1755902112,female,Morgan Martin,21,593990884753,60%,False
459,1774188970,na,Andrea Pratt,18,593990300403,NA,True
460,1791142524,female,Sierra Avila,21,593990978747,70%,True
461,1799109987,male,Eric Davis,22,593990912148,60%,False
462,1738917550,female,Lindsey Henry,13,593990638809,60%,True
463,1772917400,female,Jennifer Patton,15,593990853394,70%,False
464,1703452038,female,Rebecca Shelton,13,593990080491,NA,True
465,1709046074,female,Victoria Santiago,22,593990746257,40%,True
466,1706927139,male,Anthony Navarro,20,593990172011,NA,True
467,1713708897,female,Lauren Rollins,21,593990419600,100%,False
468,1781524678,male,Allen Harris,15,593990757408,70%,False
469,1714855814,female,Lacey Collins,17,593990556685,100%,False
470,1705829299,male,Scott Dunn,21,593990857967,60%,False
471,1720143111,female,Anna Buchanan,14,593990114161,40%,False
472,1785464984,female,Megan Potter,20,593990530495,NA,False
473,1779275713,female,Chelsea Thomas,17,593990931153,100%,True
